Galaxies    3.29e-16     66.2     24.6     71.3     33.0     27.9     21.5    259.0     58.0
Galaxies    4.50e-16     27.8     15.5     42.7     23.7     22.4     18.9    165.2     44.4
Galaxies    6.15e-16      9.0      8.6     25.4     17.2     -1.0     -1.0     91.3     31.7
Galaxies    8.41e-16     -1.0     -1.0     18.0     14.2     -1.0     -1.0     44.9     21.1
Galaxies    1.15e-15     -1.0     -1.0     -1.0     -1.0     -1.0     -1.0     25.9     15.6
Galaxies    1.57e-15     -1.0     -1.0     -1.0     -1.0     -1.0     -1.0     19.1     13.3
Stars       5.11e-18    202.4    109.3     -1.0     -1.0     -1.0     -1.0     -1.0     -1.0
Stars       6.99e-18    185.0     83.3     -1.0     -1.0     -1.0     -1.0     -1.0     -1.0
Stars       9.55e-18    171.3     67.5     -1.0     -1.0     -1.0     -1.0     -1.0     -1.0
Stars       1.30e-17    159.4     57.6     -1.0     -1.0     -1.0     -1.0     -1.0     -1.0
Stars       1.78e-17    147.9     50.7     -1.0     -1.0     -1.0     -1.0     -1.0     -1.0
Stars       2.44e-17    135.3     44.9     -1.0     -1.0     -1.0     -1.0    139.2     88.4
Stars       3.33e-17    121.9     39.8     -1.0     -1.0     -1.0     -1.0    122.2     59.3
Stars       4.10e-17    113.4     37.0     -1.0     -1.0     -1.0     -1.0    115.6     49.9
Stars       5.61e-17    103.7     34.2     34.1     32.0     -1.0     -1.0    109.4     43.2
Stars       7.66e-17     95.7     32.2     29.2     24.5     -1.0     -1.0    105.3     40.1
Stars       1.05e-16     81.0     28.8     26.2     20.9     -1.0     -1.0    101.9     38.3
Stars       1.43e-16     59.2     23.5     24.1     18.8     -1.0     -1.0     97.9     36.6
Stars       1.96e-16     49.7     21.0     22.3     17.5     -1.0     -1.0     91.5     34.4
Stars       2.67e-16     45.9     20.1     20.8     16.5     -1.0     -1.0     80.7     31.2
Stars       3.29e-16     41.3     18.9     19.6     15.9     -1.0     -1.0     71.8     28.6
Stars       4.50e-16     26.9     14.8     17.3     14.7     -1.0     -1.0     59.5     25.3
Stars       6.15e-16     24.1     14.0     12.0     12.0     -1.0     -1.0     45.7     21.5
Stars       8.41e-16     17.6     11.8     -1.0     -1.0     -1.0     -1.0     33.5     17.9
Stars       1.15e-15     15.6     11.1     -1.0     -1.0     -1.0     -1.0     20.5     13.5
Stars       1.57e-15     15.6     11.1     -1.0     -1.0     -1.0     -1.0     18.1     12.6
Stars       2.15e-15     10.7      9.1     -1.0     -1.0     -1.0     -1.0     17.4     12.3
Stars       2.64e-15      7.8      7.8     -1.0     -1.0     -1.0     -1.0     12.6     10.4
