RA,Dec,COUNT_RATE,COUNT_RATE_ERR,eFLUX,eFLUX_ERR
15:14:34.909,13:44:32.575,0.0005512385202412555,0.0001067486205040038,7.518893416090724e-15,1.4560511836746118e-15
15:14:39.038,13:46:43.670,0.00021764064803634947,7.207779062253937e-05,2.9686184392158068e-15,9.83141064091437e-16
15:14:42.023,13:47:26.624,0.00015577953451702785,7.070228679333264e-05,2.12483285081226e-15,9.643791918610572e-16
15:14:44.305,13:44:7.612,0.0002969448480144557,9.96841744053551e-05,4.050327726917175e-15,1.3596921388890435e-15
15:14:41.276,13:47:48.397,0.0005127375907017285,0.00010101477412151383,6.993740737171576e-15,1.3778415190174485e-15
15:14:36.473,13:48:32.772,0.00013992327898283897,6.051732560516353e-05,1.9085535253259234e-15,8.254563212544305e-16
15:14:38.993,13:43:24.352,0.00021653220358973306,7.388266971443676e-05,2.953499256963959e-15,1.0077596149049173e-15
15:14:32.809,13:44:15.194,0.0007823765178478858,0.0001226078789402672,1.0671615703445162e-14,1.6723714687452445e-15
15:14:41.263,13:46:37.234,0.0005332415188504213,0.0001033350401795698,7.273414317119747e-15,1.409489948049332e-15
