RA,Dec,COUNT_RATE,COUNT_RATE_ERR,eFLUX,eFLUX_ERR
22:6:25.198,9:1:21.449,0.001175662113744085,0.00012272848447957295,1.6294676896493018e-14,1.701016794886881e-15
22:6:30.250,9:6:31.294,0.0005759524772366652,9.020477876819928e-05,7.98270133450018e-15,1.250238233727242e-15
22:6:23.064,9:6:55.845,0.0006174639451469214,9.216317092913114e-05,8.55805027973633e-15,1.2773815490777575e-15
22:6:21.355,9:6:58.358,0.0005861837849606526,9.012961223340405e-05,8.124507259554644e-15,1.2491964255549801e-15
22:6:26.338,9:7:3.595,0.0013141152923297165,0.00012839995226652,1.8213637951689868e-14,1.779623338413967e-15
22:6:18.091,9:7:43.097,0.0007004596533162763,9.737073366522799e-05,9.708370794963589e-15,1.34955836860006e-15
22:6:27.336,9:0:59.461,0.0004281764153832912,7.90387022861257e-05,5.9345251172124155e-15,1.0954764136857022e-15
22:6:28.405,9:1:30.890,0.0001295556267749033,4.942787775844616e-05,1.79564098710016e-15,6.850703857320637e-16
22:6:41.559,9:2:53.994,0.00018635481530577134,5.837971191747877e-05,2.5828777401379906e-15,8.091428071762557e-16
22:6:31.784,9:3:10.154,0.0002776250669572991,6.674983557649432e-05,3.8478834280281655e-15,9.251527210902113e-16
22:6:24.279,9:3:59.808,0.00025407180356481064,6.3693046089729e-05,3.521435197408275e-15,8.827856188036439e-16
22:6:20.486,9:4:43.436,0.00017156083573566453,5.469912034382421e-05,2.37783318329631e-15,7.581298079654036e-16
22:6:14.041,9:5:18.890,0.00022224330739025575,6.167630306350299e-05,3.0802922404289445e-15,8.548335604601514e-16
22:6:27.077,9:7:4.338,0.00015089737542071336,5.213501251162168e-05,2.091437623331087e-15,7.225912734110764e-16
22:6:21.270,9:3:19.645,0.0004050751312426016,7.653569883973358e-05,5.614341319022458e-15,1.0607847859187074e-15
22:6:26.123,9:7:7.999,0.0001574507244827458,5.4827319914714744e-05,2.182267041330857e-15,7.599066540179463e-16
22:6:26.836,9:7:25.484,0.00034350280222547456,7.230884477543168e-05,4.760948838845077e-15,1.0022005885874831e-15
22:6:24.425,9:8:17.872,0.0002039454080241003,5.824591531973624e-05,2.82668335521403e-15,8.072883863315443e-16
22:6:40.962,9:8:28.314,0.00020597879954763548,6.064148650495557e-05,2.8548661617302276e-15,8.404910029586842e-16
22:6:41.960,9:8:47.957,0.0002161892799211831,6.502934202539938e-05,2.9963834197075974e-15,9.013066804720353e-16
22:6:30.949,9:3:45.313,0.0011506250694603617,0.00012122760476531809,1.5947663462720613e-14,1.6802146020473087e-15
22:6:48.598,9:9:23.059,0.0022906746424368758,0.00017058682235376806,3.17487505441751e-14,2.364333357823225e-15
22:6:29.705,9:9:27.917,0.00013903685615811802,5.0805443746221116e-05,1.927050826351516e-15,7.041634503226246e-16
22:6:22.294,9:9:44.025,0.00023416204227566788,6.806697219888152e-05,3.2454859059407566e-15,9.434082346764978e-16
22:6:23.142,9:9:55.086,0.0002389062750701735,6.380305167000646e-05,3.3112409724726044e-15,8.843102961462896e-16
22:6:33.635,9:10:41.969,0.0004500354530294416,8.387724443042605e-05,6.23749137898806e-15,1.1625386078057051e-15
22:6:23.545,9:10:56.217,0.00020007934967526095,6.182153602891844e-05,2.7730997864991166e-15,8.568464893608095e-16
22:6:40.915,9:1:17.293,0.00013931891945155592,5.870631796014067e-05,1.930960223598565e-15,8.136695669275496e-16
22:6:29.582,9:5:25.475,0.0009360398099629688,0.00011026933153922194,1.2973511766086748e-14,1.528332935133616e-15
22:6:49.741,9:5:41.936,0.00013984926359361828,5.4923637065943255e-05,1.9383107934075494e-15,7.612416097339734e-16
22:6:14.336,9:6:48.744,0.00012931206127443626,5.230345932153298e-05,1.7922651692636866e-15,7.249259461964471e-16
22:6:49.332,9:6:56.480,0.00021762714443258573,7.482851608791342e-05,3.0163122218356382e-15,1.03712323297848e-15
22:6:46.748,9:9:32.921,0.00026585855351405935,8.4746292957698e-05,3.684799551704863e-15,1.1745836203936942e-15
22:6:27.065,9:5:31.247,0.00016329009782069197,5.3405294882441966e-05,2.2632007557947904e-15,7.401973870706456e-16
22:6:42.084,9:10:23.104,0.0003051680926329779,7.252196393401936e-05,4.229629763893074e-15,1.0051544201255083e-15
22:6:27.075,9:11:12.926,0.00022811145407458238,6.601174829364053e-05,3.1616247534737117e-15,9.149228313498577e-16
22:6:42.234,9:5:37.183,0.0010991816616523432,0.000118719513140407,1.5234657830501477e-14,1.645452452126041e-15
22:6:16.068,9:6:4.974,0.0003715735557623848,7.493794675787702e-05,5.150009482866653e-15,1.0386399420641753e-15
22:6:24.072,9:6:29.347,0.00012695725056494891,4.9438052350139696e-05,1.759627492830192e-15,6.852114055729362e-16
