RA,Dec,COUNT_RATE,COUNT_RATE_ERR,eFLUX,eFLUX_ERR
1:5:22.743,13:21:54.478,0.001020883760066695,0.00025110230156215807,1.2903970727243023e-14,3.173933091745678e-15
1:5:44.227,13:24:35.094,0.00048043226790290514,0.00018909427412109567,6.072663866292721e-15,2.390151624890649e-15
1:5:28.553,13:25:2.404,0.0004510191062691544,0.00018307475308469232,5.700881503242111e-15,2.3140648789905108e-15
1:5:36.668,13:27:12.600,0.0008319502783402922,0.0002343495306534956,1.0515851518221293e-14,2.9621780674601845e-15
1:5:17.999,13:21:50.767,0.0004425680382239148,0.0001831482463705102,5.594060003150283e-15,2.314993834123249e-15
1:5:22.499,13:23:53.423,0.00041597779324819683,0.00018343524895920868,5.2579593066572075e-15,2.3186215468443977e-15
1:5:21.939,13:24:17.175,0.00016137852216061853,0.00013164325933647767,2.039824520110218e-15,1.6639707980130776e-15
1:5:27.032,13:26:8.758,0.0008798348993015372,0.00023865917475837672,1.112111312717143e-14,3.0166519689458817e-15
1:5:29.863,13:26:13.190,0.00036880462469859236,0.00017043409086457247,4.6616904561902074e-15,2.154286908528196e-15
1:5:24.734,13:27:19.178,0.0009187579156784656,0.00025180632972008737,1.1613100054175805e-14,3.1828320076619044e-15
1:5:34.012,13:23:3.733,0.0015970875259836562,0.00030195213064562916,2.0187186328433414e-14,3.816674931360752e-15
1:5:28.050,13:25:6.507,0.0003154172224196038,0.00016382028778942314,3.9868736913837916e-15,2.0706884376583082e-15
1:5:29.901,13:25:50.902,0.00767151396477318,0.000607529419299285,9.6967936514733e-14,7.679171859942962e-15
1:5:29.202,13:21:13.797,0.0003266763624387057,0.0001637377189549012,4.1291892212252395e-15,2.0696447675899512e-15
1:5:31.937,13:21:28.063,0.0001652339817344217,0.00013169123716811633,2.0885575291230902e-15,1.6645772378049904e-15
1:5:36.158,13:22:27.388,0.000692058765963006,0.00021557495338111186,8.747622801772395e-15,2.7248674107372537e-15
1:5:50.161,13:23:12.818,0.0003653855524359276,0.00017050595851865398,4.618473382790125e-15,2.1551953156757864e-15
