RA,Dec,COUNT_RATE,COUNT_RATE_ERR,eFLUX,eFLUX_ERR
3:19:21.379,-0:27:41.558,0.0008644815535733091,0.00013624532062750424,1.2016293594668997e-14,1.893809956722309e-15
3:19:22.303,-0:27:28.432,0.00019365678511267914,7.740458517933848e-05,2.69182931306624e-15,1.075923733992805e-15
3:19:37.957,-0:26:55.778,0.0003610569500326835,0.00010266163854140997,5.0186916054543e-15,1.4269967757255987e-15
3:19:42.340,-0:26:54.970,0.0006847205093085563,0.0001204836774965661,9.517615079388931e-15,1.6747231172022687e-15
3:19:37.356,-0:26:40.727,0.0012826520179289261,0.00015260462169972401,1.7828863049212073e-14,2.1212042416261636e-15
3:19:28.044,-0:25:33.417,0.00021562701443046792,7.541147219790553e-05,2.997215500583504e-15,1.048219463550887e-15
3:19:25.974,-0:25:4.448,0.0001294857641919184,6.185959116817971e-05,1.7998521222676657e-15,8.59848317237698e-16
3:19:38.482,-0:24:10.205,0.000457465413465496,9.827516774302957e-05,6.3587692471703945e-15,1.366024831628111e-15
3:19:29.439,-0:27:33.204,0.0015184461108447853,0.000165570373694946,2.1106400940742516e-14,2.3014281943597494e-15
3:19:17.592,-0:23:10.791,0.00039974722143349014,9.174213368348883e-05,5.556486377925513e-15,1.2752156582004947e-15
3:19:13.267,-0:22:56.119,0.0005795232803571965,0.00010763698652606765,8.055373596965032e-15,1.4961541127123404e-15
3:19:13.196,-0:22:48.680,0.0002160321652601189,7.541595805708436e-05,3.0028470971156528e-15,1.0482818169934726e-15
3:19:41.953,-0:27:45.597,0.0003300176046210003,9.913500520880545e-05,4.587244704231904e-15,1.3779765724023958e-15
3:19:41.648,-0:27:21.125,0.0002832867254898364,0.00010558484997547742,3.937685484308726e-15,1.4676294146591362e-15
3:19:28.852,-0:25:5.363,0.001287590141801229,0.00015174457456596977,1.7897502971037085e-14,2.1092495864669797e-15
3:19:23.597,-0:26:7.030,0.00018759035704671076,7.188737155727445e-05,2.6075059629492795e-15,9.992344646461149e-16
3:19:26.535,-0:25:42.057,0.00018934206899275878,0.00010230032471167518,2.631854758999347e-15,1.4219745134922851e-15
3:19:13.116,-0:25:11.468,0.0002030469936850304,8.234577706977708e-05,2.8223532122219226e-15,1.1446063012699015e-15
3:19:25.615,-0:25:20.187,0.0005472137420728855,0.00013383089739663507,7.606271014813108e-15,1.8602494738132273e-15
3:19:26.923,-0:24:30.323,0.0007941191159887433,0.00012306565213601606,1.1038255712243531e-14,1.7106125646906233e-15
3:19:30.562,-0:23:4.031,0.0007012841860124357,0.00011610478946668137,9.747850185572857e-15,1.613856573586871e-15
3:19:29.850,-0:22:5.621,0.00037319166624337946,8.899803269693825e-05,5.1873641607829744e-15,1.2370726544874417e-15
3:19:14.959,-0:28:52.725,0.0008442050841604459,0.00015717959037433364,1.1734450669830197e-14,2.1847963062032375e-15
3:19:26.289,-0:28:44.500,0.001168110862442895,0.00014811469620803602,1.623674098795624e-14,2.0587942772917006e-15
3:19:26.173,-0:27:56.943,0.00021030867484049954,8.232890630902022e-05,2.9232905802829436e-15,1.144371797695381e-15
