RA,Dec,COUNT_RATE,COUNT_RATE_ERR,eFLUX,eFLUX_ERR
11:42:48.328,15:28:7.010,0.00031782345934803,0.00010588227436813645,4.223873774735319e-15,1.4071754263525333e-15
11:43:4.318,15:27:2.613,0.0004359376692024613,0.00013863821961098167,5.793611623700711e-15,1.8425019386299465e-15
11:42:44.956,15:27:30.192,0.0003000516052656014,0.00010610260107195277,3.9876858339798426e-15,1.4101035682462523e-15
11:42:37.305,15:27:39.730,0.0004173072268983011,0.00012331317647760974,5.546013045478422e-15,1.6388321153874335e-15
11:42:41.637,15:28:11.800,0.0002458969728555278,9.751302339231426e-05,3.2679707692499645e-15,1.2959480808838566e-15
11:42:35.910,15:28:21.122,0.0002716014433828819,0.00010039838206975516,3.609583182558501e-15,1.334294497707046e-15
11:42:57.251,15:28:56.751,0.00015659519382847675,8.456800514605782e-05,2.081150125980456e-15,1.1239087883911085e-15
11:42:49.030,15:29:0.845,0.0002460527406715043,9.750751742594148e-05,3.270040923524292e-15,1.2958749065907623e-15
11:42:33.247,15:29:56.505,0.00014209616649669645,8.470769170163541e-05,1.888458052741096e-15,1.1257652227147347e-15
11:42:47.401,15:28:47.133,0.0003533729588410016,0.0001111770402669944,4.696326622996912e-15,1.4775428651483558e-15
11:42:40.194,15:31:6.516,0.000160841992135118,8.454131344796358e-05,2.1375900754757183e-15,1.1235540557234359e-15
11:42:35.472,15:24:10.216,0.0002904546034053639,0.00011683835115717748,3.860141679257287e-15,1.5527816868788888e-15
11:42:33.768,15:24:48.742,0.0004055414332836148,0.00012571556576178766,5.389645648339241e-15,1.6707598689741582e-15
11:42:58.829,15:25:12.617,0.00023892029231637054,0.00010366599163390438,3.1752506848845644e-15,1.3777210288145892e-15
11:42:47.416,15:27:10.715,0.00024774405399179974,0.00011275859151895328,3.2925184775510184e-15,1.498561681286889e-15
11:42:52.194,15:27:36.618,0.00022297408710889976,9.449494405436586e-05,2.963325617677278e-15,1.2558378064825222e-15
11:42:36.393,15:29:32.853,0.004771590528553578,0.0003413557256112955,6.341443812447705e-14,4.536617593374117e-15
11:42:40.306,15:31:32.287,0.00028533401330905334,0.00010328269307860483,3.792089036877319e-15,1.3726269910146583e-15
11:42:36.172,15:22:54.357,0.0005081168360661724,0.00015902231384639853,6.752872751319431e-15,2.1134065510186364e-15
11:42:55.004,15:25:24.148,0.0008421533667534971,0.00016087969687126501,1.1192218244153976e-14,2.138091171419112e-15
11:42:38.533,15:26:13.550,0.00023472070513410188,9.763284310176687e-05,3.119438171232214e-15,1.2975404848224817e-15
11:43:5.437,15:26:40.099,0.0008318197574441282,0.0001626963389683183,1.1054884576432464e-14,2.16223434488895e-15
