RA,Dec,COUNT_RATE,COUNT_RATE_ERR,eFLUX,eFLUX_ERR
10:14:3.382,0:35:42.629,0.0006399754944647382,0.00018347394786560035,8.550072606048902e-15,2.4512119434844206e-15
10:14:10.855,0:40:4.712,0.0013027471085161433,0.00024902795963227607,1.7404701369775674e-14,3.327013540687208e-15
10:14:14.952,0:35:16.390,0.00019951932569472477,0.00012134159603346582,2.665578191281523e-15,1.6211237230071032e-15
10:14:14.726,0:35:56.896,0.00013473168304520806,0.00010720490661101894,1.8000152854839796e-15,1.4322575523232129e-15
10:14:16.467,0:36:22.888,0.0001870708767281795,0.00012152825998795606,2.4992669130884783e-15,1.623617553439093e-15
10:14:20.282,0:37:36.102,0.00035816172409517804,0.0001493781352833089,4.785040633911579e-15,1.995691887385007e-15
10:13:54.967,0:37:36.605,0.00028552752829965244,0.00013918403388885013,3.814647778083357e-15,1.8594986927550377e-15
10:14:9.094,0:38:54.858,0.00019922036539505667,0.0001280262543894787,2.661584081677957e-15,1.7104307586434353e-15
10:13:58.017,0:39:1.888,0.00022763347099673153,0.00012770143692745922,3.041183172516333e-15,1.7060911973508553e-15
10:13:50.612,0:39:30.782,0.0004120553297308882,0.000168239564601702,5.505059205204666e-15,2.2476805830787385e-15
10:14:17.303,0:39:54.842,0.00030966835770996953,0.00014983990299047127,4.137169259005193e-15,2.001861103952696e-15
10:13:54.932,0:36:34.593,0.0033958328172232657,0.00037353582633036284,4.5368326438102826e-14,4.9904386397736475e-15
10:14:1.943,0:40:0.928,0.0002257359327580018,0.00012770203037222767,3.015832061646904e-15,1.7060991257729616e-15
10:13:52.647,0:40:15.491,0.0005326425244089367,0.0001801997643927378,7.116104126103395e-15,2.407468852286977e-15
10:13:56.572,0:40:56.435,0.00033265062193312954,0.0001496282390747458,4.4442123090266104e-15,1.9990332740386036e-15
10:14:11.627,0:41:31.166,0.0007341832950362358,0.00019822307342345037,9.80868882168411e-15,2.648260260937297e-15
10:13:52.554,0:37:6.430,0.0003105621012296495,0.00014450709415757672,4.149109672428117e-15,1.9306147779452248e-15
10:14:12.945,0:36:40.404,0.0007047854504011187,0.00019086196692612672,9.415933617358947e-15,2.5499158781330528e-15
10:14:16.090,0:36:49.122,0.00041598831358353593,0.00015889919524442837,5.55760386947604e-15,2.122893248465563e-15
10:14:7.542,0:38:12.994,0.00021332516482157945,0.00013422712958237155,2.8500242020163014e-15,1.793274451220484e-15
10:14:14.547,0:38:38.897,0.0004498794267091456,0.00016334681868361174,6.010389140834185e-15,2.1823134976130528e-15
10:14:17.519,0:38:46.842,0.0014624187318615627,0.00025918832364012423,1.9537914257670476e-14,3.4627560038320597e-15
10:13:54.971,0:38:57.066,0.00016841460380651006,0.00011456293522743466,2.2500191068549745e-15,1.530560814638527e-15
10:14:23.003,0:39:28.415,0.0006906170706496691,0.00020214087345006375,9.226644063879579e-15,2.700602069292852e-15
